date,depto,num
01/01/2018,AMAZONAS,16
01/01/2018,AMAZONAS,17
01/01/2018,ANTIOQUIA,26
01/01/2018,ANTIOQUIA,30
01/01/2018,ANTIOQUIA,25
01/01/2018,ANTIOQUIA,56
01/01/2018,ANTIOQUIA,25
01/01/2018,ANTIOQUIA,19
01/01/2018,ANTIOQUIA,32
01/01/2018,ANTIOQUIA,25
01/01/2018,ANTIOQUIA,21
01/01/2018,ANTIOQUIA,36
01/01/2018,ANTIOQUIA,43
01/01/2018,ANTIOQUIA,18
01/01/2018,ATLÁNTICO,44
01/01/2018,ATLÁNTICO,46
01/01/2018,ATLÁNTICO,22
01/01/2018,BOLÍVAR,27
01/01/2018,BOLÍVAR,23
01/01/2018,BOLÍVAR,15
01/01/2018,BOLÍVAR,18
01/01/2018,BOLÍVAR,51
01/01/2018,BOYACÁ,34
01/01/2018,CALDAS,31
01/01/2018,CASANARE,40
01/01/2018,CAUCA,29
01/01/2018,CAUCA,38
01/01/2018,CAUCA,37
01/01/2018,CAUCA,20
01/01/2018,CAUCA,40
01/01/2018,CAUCA,20
01/01/2018,CHOCÓ,32
01/01/2018,CÓRDOBA,39
01/01/2018,CÓRDOBA,31
01/01/2018,CÓRDOBA,31
01/01/2018,CUNDINAMARCA,22
01/01/2018,CUNDINAMARCA,17
01/01/2018,CUNDINAMARCA,30
01/01/2018,CUNDINAMARCA,24
01/01/2018,CUNDINAMARCA,43
01/01/2018,CUNDINAMARCA,19
01/01/2018,CUNDINAMARCA,19
01/01/2018,CUNDINAMARCA,15
01/01/2018,CUNDINAMARCA,33
01/01/2018,CUNDINAMARCA,22
01/01/2018,CUNDINAMARCA,37
01/01/2018,CUNDINAMARCA,26
01/01/2018,CUNDINAMARCA,38
01/01/2018,CUNDINAMARCA,21
01/01/2018,GUAJIRA,40
01/01/2018,HUILA,19
01/01/2018,MAGDALENA,47
01/01/2018,MAGDALENA,19
01/01/2018,NARIÑO,27
01/01/2018,NARIÑO,26
01/01/2018,NARIÑO,31
01/01/2018,NARIÑO,37
01/01/2018,NARIÑO,16
01/01/2018,NARIÑO,38
01/01/2018,NARIÑO,39
01/01/2018,NARIÑO,58
01/01/2018,NORTE DE SANTANDER,37
01/01/2018,QUINDÍO,45
01/01/2018,SANTANDER,43
01/01/2018,SANTANDER,26
01/01/2018,SANTANDER,50
01/01/2018,SUCRE,22
01/01/2018,SUCRE,33
01/01/2018,SUCRE,42
01/01/2018,VALLE,31
01/01/2018,VALLE,35
01/01/2018,VALLE,39
01/01/2018,VALLE,22
01/01/2018,VALLE,27
01/01/2018,VALLE,28
01/01/2018,VALLE,28
01/01/2018,VALLE,23
01/01/2018,VALLE,17
01/01/2018,VALLE,19
01/01/2018,VALLE,20
01/01/2018,VALLE,47
01/01/2018,VALLE,28
02/01/2018,ANTIOQUIA,23
02/01/2018,ANTIOQUIA,18
02/01/2018,ANTIOQUIA,36
02/01/2018,ANTIOQUIA,31
02/01/2018,ANTIOQUIA,22
02/01/2018,ANTIOQUIA,54
02/01/2018,ANTIOQUIA,32
02/01/2018,BOLÍVAR,28
02/01/2018,BOLÍVAR,46
02/01/2018,CALDAS,54
02/01/2018,CAQUETÁ,55
02/01/2018,CESAR,37
02/01/2018,CHOCÓ,16
02/01/2018,CÓRDOBA,15
02/01/2018,CUNDINAMARCA,52
02/01/2018,CUNDINAMARCA,70
02/01/2018,CUNDINAMARCA,50
02/01/2018,CUNDINAMARCA,28
02/01/2018,CUNDINAMARCA,48
02/01/2018,CUNDINAMARCA,57
02/01/2018,HUILA,37
02/01/2018,MAGDALENA,30
02/01/2018,META,23
02/01/2018,NARIÑO,13
02/01/2018,NARIÑO,14
02/01/2018,NARIÑO,27
02/01/2018,NARIÑO,32
02/01/2018,QUINDÍO,24
02/01/2018,QUINDÍO,22
02/01/2018,RISARALDA,17
02/01/2018,VALLE,37
02/01/2018,VALLE,21
02/01/2018,VALLE,19
02/01/2018,VALLE,21
02/01/2018,VALLE,32
02/01/2018,VALLE,25
03/01/2018,ANTIOQUIA,26
03/01/2018,ATLÁNTICO,21
03/01/2018,CAUCA,42
03/01/2018,CAUCA,32
03/01/2018,CAUCA,24
03/01/2018,CESAR,17
03/01/2018,CHOCÓ,35
03/01/2018,CHOCÓ,15
03/01/2018,CUNDINAMARCA,18
03/01/2018,META,27
03/01/2018,NARIÑO,28
03/01/2018,NARIÑO,43
03/01/2018,NARIÑO,27
03/01/2018,NORTE DE SANTANDER,18
03/01/2018,RISARALDA,35
03/01/2018,RISARALDA,21
03/01/2018,RISARALDA,23
03/01/2018,RISARALDA,83
03/01/2018,SANTANDER,33
03/01/2018,TOLIMA,45
03/01/2018,VALLE,15
03/01/2018,VALLE,41
03/01/2018,VALLE,70
04/01/2018,ANTIOQUIA,35
04/01/2018,ANTIOQUIA,26
04/01/2018,ANTIOQUIA,38
04/01/2018,ANTIOQUIA,22
04/01/2018,ANTIOQUIA,23
04/01/2018,ANTIOQUIA,27
04/01/2018,BOYACÁ,31
04/01/2018,CAUCA,18
04/01/2018,CAUCA,22
04/01/2018,CAUCA,27
04/01/2018,CAUCA,28
04/01/2018,CAUCA,31
04/01/2018,CAUCA,54
04/01/2018,CAUCA,36
04/01/2018,CAUCA,27
04/01/2018,CESAR,20
04/01/2018,CESAR,45
04/01/2018,CÓRDOBA,18
04/01/2018,CUNDINAMARCA,39
04/01/2018,CUNDINAMARCA,21
04/01/2018,CUNDINAMARCA,32
04/01/2018,HUILA,32
04/01/2018,MAGDALENA,42
04/01/2018,MAGDALENA,22
04/01/2018,META,18
04/01/2018,META,29
04/01/2018,TOLIMA,63
04/01/2018,TOLIMA,31
04/01/2018,VALLE,20
04/01/2018,VALLE,45
04/01/2018,VALLE,28
04/01/2018,VALLE,24
04/01/2018,VALLE,48
05/01/2018,ANTIOQUIA,29
05/01/2018,ANTIOQUIA,44
05/01/2018,ANTIOQUIA,25
05/01/2018,ANTIOQUIA,37
05/01/2018,CALDAS,52
05/01/2018,CALDAS,53
05/01/2018,CALDAS,20
05/01/2018,CAQUETÁ,38
05/01/2018,CUNDINAMARCA,36
05/01/2018,CUNDINAMARCA,29
05/01/2018,MAGDALENA,31
05/01/2018,QUINDÍO,35
05/01/2018,RISARALDA,46
05/01/2018,SANTANDER,21
05/01/2018,VALLE,25
05/01/2018,VALLE,21
05/01/2018,VALLE,19
05/01/2018,VALLE,45
06/01/2018,ANTIOQUIA,21
06/01/2018,ANTIOQUIA,35
06/01/2018,ANTIOQUIA,21
06/01/2018,ANTIOQUIA,38
06/01/2018,ANTIOQUIA,22
06/01/2018,ANTIOQUIA,21
06/01/2018,ANTIOQUIA,29
06/01/2018,ANTIOQUIA,28
06/01/2018,ATLÁNTICO,38
06/01/2018,CAQUETÁ,57
06/01/2018,CAUCA,43
06/01/2018,CAUCA,32
06/01/2018,CAUCA,47
06/01/2018,CAUCA,28
06/01/2018,CAUCA,19
06/01/2018,CAUCA,37
06/01/2018,CAUCA,58
06/01/2018,CHOCÓ,16
06/01/2018,CÓRDOBA,32
06/01/2018,CUNDINAMARCA,24
06/01/2018,CUNDINAMARCA,45
06/01/2018,CUNDINAMARCA,27
06/01/2018,CUNDINAMARCA,26
06/01/2018,CUNDINAMARCA,38
06/01/2018,CUNDINAMARCA,43
06/01/2018,HUILA,24
06/01/2018,NARIÑO,24
06/01/2018,NARIÑO,28
06/01/2018,NORTE DE SANTANDER,23
06/01/2018,NORTE DE SANTANDER,18
06/01/2018,NORTE DE SANTANDER,22
06/01/2018,VALLE,20
06/01/2018,VALLE,23
06/01/2018,VALLE,22
06/01/2018,VALLE,24
06/01/2018,VALLE,25
06/01/2018,VALLE,44
07/01/2018,ANTIOQUIA,22
07/01/2018,ANTIOQUIA,30
07/01/2018,ANTIOQUIA,36
07/01/2018,ANTIOQUIA,32
07/01/2018,ANTIOQUIA,58
07/01/2018,ANTIOQUIA,36
07/01/2018,ANTIOQUIA,24
07/01/2018,ATLÁNTICO,25
07/01/2018,BOLÍVAR,24
